"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"120","National","National",2005,2,2.54155,2.20171,2188,NA,2542,2982,NA,611,8323,1342,378024,NA
"121","National","National",2005,3,2.85871,2.53012,2199,NA,2839,3682,NA,608,9328,1348,368678,NA
"122","National","National",2005,4,3.55011,3.06524,2747,NA,3586,5364,NA,725,12422,1334,405254,NA
"123","National","National",2005,5,4.58591,3.98061,3086,NA,4498,7650,NA,958,16192,1303,406772,NA
"124","National","National",2005,6,5.05809,4.59568,3626,NA,5757,8854,NA,1132,19369,1324,421461,NA
"125","National","National",2005,7,5.44151,4.75197,3834,NA,6515,8400,NA,1182,19931,1330,419426,NA
"126","National","National",2005,8,4.4729,4.17962,3720,NA,5125,6759,NA,1026,16630,1280,397883,NA
"127","National","National",2005,9,3.6752,3.45359,2997,NA,4058,5343,NA,836,13234,1268,383196,NA
"128","National","National",2005,10,3.3353,3.15852,2728,NA,3634,4494,NA,745,11601,1227,367292,NA
"129","National","National",2005,11,2.76224,2.6732,2416,NA,2969,3513,NA,604,9502,1185,355454,NA
"130","National","National",2005,12,2.46844,2.35161,2145,NA,2434,2771,NA,550,7900,1148,335940,NA
"131","National","National",2005,13,2.00081,1.89243,1827,NA,1979,2133,NA,390,6329,1103,334438,NA
"132","National","National",2005,14,1.54319,1.5249,1422,NA,1327,1737,NA,330,4816,1048,315823,NA
"133","National","National",2005,15,1.50195,1.41134,1356,NA,1169,1603,NA,317,4445,1000,314948,NA
"134","National","National",2005,16,1.22918,1.25068,1096,NA,954,1469,NA,306,3825,978,305833,NA
"135","National","National",2005,17,1.21854,1.20702,1117,NA,894,1411,NA,224,3646,971,302065,NA
"136","National","National",2005,18,1.15832,1.07895,903,NA,762,1136,NA,189,2990,923,277120,NA
"137","National","National",2005,19,1.249,1.14521,979,NA,710,1115,NA,208,3012,878,263009,NA
"138","National","National",2005,20,1.16888,1.06124,805,NA,600,926,NA,200,2531,825,238494,NA
"139","National","National",2005,21,1.07888,1.0568,687,NA,518,695,NA,156,2056,687,194550,NA
"140","National","National",2005,22,1.23059,1.25193,693,NA,568,678,NA,160,2099,637,167661,NA
"141","National","National",2005,23,1.14747,1.01419,548,NA,462,594,NA,140,1744,603,171960,NA
