"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"204","States","South Dakota",2014,43,NA,1.0968,NA,NA,NA,NA,NA,NA,63,24,5744,NA
"205","States","Tennessee",2014,43,NA,0.786283,NA,NA,NA,NA,NA,NA,83,48,10556,NA
"206","States","Texas",2014,43,NA,2.1727,NA,NA,NA,NA,NA,NA,860,98,39582,NA
"207","States","Utah",2014,43,NA,1.51456,NA,NA,NA,NA,NA,NA,234,38,15450,NA
"208","States","Vermont",2014,43,NA,1.06242,NA,NA,NA,NA,NA,NA,40,12,3765,NA
"209","States","Virginia",2014,43,NA,1.70346,NA,NA,NA,NA,NA,NA,1291,116,75787,NA
"210","States","Washington",2014,43,NA,0.620604,NA,NA,NA,NA,NA,NA,30,31,4834,NA
"211","States","West Virginia",2014,43,NA,1.08258,NA,NA,NA,NA,NA,NA,199,45,18382,NA
"212","States","Wisconsin",2014,43,NA,1.93198,NA,NA,NA,NA,NA,NA,146,29,7557,NA
"213","States","Wyoming",2014,43,NA,0.84832,NA,NA,NA,NA,NA,NA,50,26,5894,NA
"214","States","Puerto Rico",2014,43,NA,9.27433,NA,NA,NA,NA,NA,NA,547,7,5898,NA
"215","States","Virgin Islands",2014,43,NA,3.35917,NA,NA,NA,NA,NA,NA,13,1,387,NA
"216","States","New York City",2014,43,NA,1.72474,NA,NA,NA,NA,NA,NA,1727,93,100131,NA
"217","States","Alabama",2014,44,NA,2.11822,NA,NA,NA,NA,NA,NA,253,28,11944,NA
"218","States","Alaska",2014,44,NA,1.80723,NA,NA,NA,NA,NA,NA,21,7,1162,NA
"219","States","Arizona",2014,44,NA,0.939032,NA,NA,NA,NA,NA,NA,272,58,28966,NA
"220","States","Arkansas",2014,44,NA,1.46085,NA,NA,NA,NA,NA,NA,86,18,5887,NA
"221","States","California",2014,44,NA,1.88603,NA,NA,NA,NA,NA,NA,844,154,44750,NA
"222","States","Colorado",2014,44,NA,0.49776,NA,NA,NA,NA,NA,NA,20,6,4018,NA
"223","States","Connecticut",2014,44,NA,2.06852,NA,NA,NA,NA,NA,NA,96,21,4641,NA
"224","States","Delaware",2014,44,NA,0.0538213,NA,NA,NA,NA,NA,NA,1,7,1858,NA
"225","States","District of Columbia",2014,44,NA,6.35436,NA,NA,NA,NA,NA,NA,137,2,2156,NA
"226","States","Florida",2014,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","States","Georgia",2014,44,NA,0.769458,NA,NA,NA,NA,NA,NA,182,37,23653,NA
"228","States","Hawaii",2014,44,NA,4.48448,NA,NA,NA,NA,NA,NA,117,20,2609,NA
"229","States","Idaho",2014,44,NA,0.947587,NA,NA,NA,NA,NA,NA,32,10,3377,NA
"230","States","Illinois",2014,44,NA,1.74722,NA,NA,NA,NA,NA,NA,979,96,56032,NA
"231","States","Indiana",2014,44,NA,0.694664,NA,NA,NA,NA,NA,NA,66,38,9501,NA
"232","States","Iowa",2014,44,NA,0.34339,NA,NA,NA,NA,NA,NA,117,16,34072,NA
"233","States","Kansas",2014,44,NA,0.78125,NA,NA,NA,NA,NA,NA,47,29,6016,NA
"234","States","Kentucky",2014,44,NA,0.0676779,NA,NA,NA,NA,NA,NA,17,19,25119,NA
"235","States","Louisiana",2014,44,NA,2.54468,NA,NA,NA,NA,NA,NA,1206,77,47393,NA
"236","States","Maine",2014,44,NA,1.02456,NA,NA,NA,NA,NA,NA,63,30,6149,NA
"237","States","Maryland",2014,44,NA,1.12683,NA,NA,NA,NA,NA,NA,133,23,11803,NA
"238","States","Massachusetts",2014,44,NA,0.740407,NA,NA,NA,NA,NA,NA,197,47,26607,NA
"239","States","Michigan",2014,44,NA,0.494181,NA,NA,NA,NA,NA,NA,93,52,18819,NA
"240","States","Minnesota",2014,44,NA,0.826598,NA,NA,NA,NA,NA,NA,45,16,5444,NA
"241","States","Mississippi",2014,44,NA,2.45889,NA,NA,NA,NA,NA,NA,483,54,19643,NA
"242","States","Missouri",2014,44,NA,0.948386,NA,NA,NA,NA,NA,NA,52,22,5483,NA
"243","States","Montana",2014,44,NA,0.118941,NA,NA,NA,NA,NA,NA,4,12,3363,NA
"244","States","Nebraska",2014,44,NA,0.420008,NA,NA,NA,NA,NA,NA,11,16,2619,NA
"245","States","Nevada",2014,44,NA,0.562972,NA,NA,NA,NA,NA,NA,70,29,12434,NA
"246","States","New Hampshire",2014,44,NA,0.269906,NA,NA,NA,NA,NA,NA,14,27,5187,NA
"247","States","New Jersey",2014,44,NA,1.57613,NA,NA,NA,NA,NA,NA,168,26,10659,NA
"248","States","New Mexico",2014,44,NA,1.31718,NA,NA,NA,NA,NA,NA,150,27,11388,NA
"249","States","New York",2014,44,NA,0.95177,NA,NA,NA,NA,NA,NA,178,161,18702,NA
"250","States","North Carolina",2014,44,NA,0.923254,NA,NA,NA,NA,NA,NA,160,52,17330,NA
"251","States","North Dakota",2014,44,NA,0.679245,NA,NA,NA,NA,NA,NA,9,7,1325,NA
"252","States","Ohio",2014,44,NA,0.534759,NA,NA,NA,NA,NA,NA,87,54,16269,NA
"253","States","Oklahoma",2014,44,NA,1.40476,NA,NA,NA,NA,NA,NA,59,18,4200,NA
"254","States","Oregon",2014,44,NA,1.03776,NA,NA,NA,NA,NA,NA,47,17,4529,NA
"255","States","Pennsylvania",2014,44,NA,1.08301,NA,NA,NA,NA,NA,NA,170,47,15697,NA
"256","States","Rhode Island",2014,44,NA,0.154213,NA,NA,NA,NA,NA,NA,11,20,7133,NA
"257","States","South Carolina",2014,44,NA,0.76835,NA,NA,NA,NA,NA,NA,47,15,6117,NA
"258","States","South Dakota",2014,44,NA,0.70514,NA,NA,NA,NA,NA,NA,38,23,5389,NA
"259","States","Tennessee",2014,44,NA,0.83815,NA,NA,NA,NA,NA,NA,87,48,10380,NA
"260","States","Texas",2014,44,NA,2.26836,NA,NA,NA,NA,NA,NA,861,96,37957,NA
"261","States","Utah",2014,44,NA,1.58786,NA,NA,NA,NA,NA,NA,270,41,17004,NA
"262","States","Vermont",2014,44,NA,1.37312,NA,NA,NA,NA,NA,NA,52,12,3787,NA
"263","States","Virginia",2014,44,NA,1.71274,NA,NA,NA,NA,NA,NA,1262,116,73683,NA
"264","States","Washington",2014,44,NA,0.604511,NA,NA,NA,NA,NA,NA,26,35,4301,NA
"265","States","West Virginia",2014,44,NA,1.1051,NA,NA,NA,NA,NA,NA,194,44,17555,NA
"266","States","Wisconsin",2014,44,NA,2.2283,NA,NA,NA,NA,NA,NA,171,29,7674,NA
"267","States","Wyoming",2014,44,NA,0.43082,NA,NA,NA,NA,NA,NA,26,26,6035,NA
"268","States","Puerto Rico",2014,44,NA,6.18928,NA,NA,NA,NA,NA,NA,344,7,5558,NA
"269","States","Virgin Islands",2014,44,NA,2.97767,NA,NA,NA,NA,NA,NA,12,1,403,NA
"270","States","New York City",2014,44,NA,1.79443,NA,NA,NA,NA,NA,NA,1798,95,100199,NA
"271","States","Alabama",2014,45,NA,2.5133,NA,NA,NA,NA,NA,NA,274,26,10902,NA
"272","States","Alaska",2014,45,NA,3.11448,NA,NA,NA,NA,NA,NA,37,7,1188,NA
"273","States","Arizona",2014,45,NA,1.08034,NA,NA,NA,NA,NA,NA,325,61,30083,NA
"274","States","Arkansas",2014,45,NA,1.64339,NA,NA,NA,NA,NA,NA,100,19,6085,NA
"275","States","California",2014,45,NA,2.22964,NA,NA,NA,NA,NA,NA,1048,157,47003,NA
"276","States","Colorado",2014,45,NA,0.557,NA,NA,NA,NA,NA,NA,15,6,2693,NA
"277","States","Connecticut",2014,45,NA,2.27323,NA,NA,NA,NA,NA,NA,103,21,4531,NA
"278","States","Delaware",2014,45,NA,0.0993542,NA,NA,NA,NA,NA,NA,2,7,2013,NA
"279","States","District of Columbia",2014,45,NA,7.22467,NA,NA,NA,NA,NA,NA,164,2,2270,NA
"280","States","Florida",2014,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","States","Georgia",2014,45,NA,1.26756,NA,NA,NA,NA,NA,NA,296,37,23352,NA
"282","States","Hawaii",2014,45,NA,5.23318,NA,NA,NA,NA,NA,NA,147,20,2809,NA
"283","States","Idaho",2014,45,NA,2.12156,NA,NA,NA,NA,NA,NA,74,10,3488,NA
"284","States","Illinois",2014,45,NA,1.95543,NA,NA,NA,NA,NA,NA,1109,96,56714,NA
"285","States","Indiana",2014,45,NA,0.829048,NA,NA,NA,NA,NA,NA,79,38,9529,NA
"286","States","Iowa",2014,45,NA,0.288583,NA,NA,NA,NA,NA,NA,98,17,33959,NA
"287","States","Kansas",2014,45,NA,1.01807,NA,NA,NA,NA,NA,NA,71,31,6974,NA
"288","States","Kentucky",2014,45,NA,0.165563,NA,NA,NA,NA,NA,NA,34,17,20536,NA
"289","States","Louisiana",2014,45,NA,3.05093,NA,NA,NA,NA,NA,NA,1421,78,46576,NA
"290","States","Maine",2014,45,NA,1.04025,NA,NA,NA,NA,NA,NA,61,31,5864,NA
"291","States","Maryland",2014,45,NA,0.925521,NA,NA,NA,NA,NA,NA,127,24,13722,NA
"292","States","Massachusetts",2014,45,NA,0.943831,NA,NA,NA,NA,NA,NA,266,50,28183,NA
"293","States","Michigan",2014,45,NA,0.650309,NA,NA,NA,NA,NA,NA,119,48,18299,NA
"294","States","Minnesota",2014,45,NA,0.827719,NA,NA,NA,NA,NA,NA,43,15,5195,NA
"295","States","Mississippi",2014,45,NA,3.13698,NA,NA,NA,NA,NA,NA,622,52,19828,NA
"296","States","Missouri",2014,45,NA,1.04767,NA,NA,NA,NA,NA,NA,80,21,7636,NA
"297","States","Montana",2014,45,NA,0.188088,NA,NA,NA,NA,NA,NA,6,11,3190,NA
"298","States","Nebraska",2014,45,NA,0.293871,NA,NA,NA,NA,NA,NA,7,15,2382,NA
"299","States","Nevada",2014,45,NA,0.544813,NA,NA,NA,NA,NA,NA,71,30,13032,NA
"300","States","New Hampshire",2014,45,NA,0.299222,NA,NA,NA,NA,NA,NA,15,27,5013,NA
"301","States","New Jersey",2014,45,NA,1.60939,NA,NA,NA,NA,NA,NA,170,25,10563,NA
"302","States","New Mexico",2014,45,NA,1.75094,NA,NA,NA,NA,NA,NA,187,26,10680,NA
"303","States","New York",2014,45,NA,1.10596,NA,NA,NA,NA,NA,NA,210,161,18988,NA
"304","States","North Carolina",2014,45,NA,0.970316,NA,NA,NA,NA,NA,NA,169,50,17417,NA
"305","States","North Dakota",2014,45,NA,0.563063,NA,NA,NA,NA,NA,NA,5,7,888,NA
"306","States","Ohio",2014,45,NA,0.551492,NA,NA,NA,NA,NA,NA,95,58,17226,NA
"307","States","Oklahoma",2014,45,NA,1.38249,NA,NA,NA,NA,NA,NA,21,18,1519,NA
